,星期一,星期二,星期三,星期四,星期五,major
1,"[CC資訊網路大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[CC資訊網路大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[不在學校],",資訊學院
2,"[CC資訊網路大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[不在學校],","[不在學校],","[不在學校],,",資訊學院
0,"[AA科技大樓],[5-10分鐘],,[體育一館],[5-10分鐘],","[體育一館],[5-10分鐘],,[體育一館],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[體育一館],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[體育一館],[5-10分鐘],","[S資訊管理大樓],[5-10分鐘],,[體育一館],[5-10分鐘],",資訊學院
1,"[S資訊管理大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[Q行政大樓OR圖書館],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[S資訊管理大樓],[5-10分鐘],","[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[不在學校],x,,[不在學校],x,",資訊學院
2,"[AA科技大樓],[5-10分鐘],,[AA科技大樓],[5-10分鐘],","[CC資訊網路大樓],[5-10分鐘],,[CC資訊網路大樓],[5-10分鐘],","[不在學校],x,,[不在學校],x,","[不在學校],x,,[不在學校],x,","[不在學校],x,,[不在學校],x,",資訊學院
0,"[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[AA科技大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[CC資訊網路大樓],[0-5分鐘],x,","[AA科技大樓],[0-5分鐘],x,","[S資訊管理大樓],[0-5分鐘],x,","[AA科技大樓],[0-5分鐘],x,","[不在學校],x,x,",資訊學院
2,"[S資訊管理大樓],[0-5分鐘],x,","[AA科技大樓],[0-5分鐘],x,","[不在學校],x,x,","[不在學校],x,x,","[不在學校],x,x,,",資訊學院
0,"[AA科技大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[體育一館],[0-5分鐘],,[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[體育一館],[0-5分鐘],",資訊學院
1,"[CC資訊網路大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[不在學校],x,,[體育一館],[0-5分鐘],",資訊學院
2,"[CC資訊網路大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[AA科技大樓],[0-5分鐘],,[體育一館],[0-5分鐘],","[不在學校],,[不在學校],x,","[不在學校],,[不在學校],x,","[不在學校],,[不在學校],x,,",資訊學院
0,"[不在學校],","[EE綜合教學大樓],[0-5分鐘],","[AA科技大樓],[5-10分鐘],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],",資訊學院
1,"[S資訊管理大樓],[0-5分鐘],","[EE綜合教學大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],","[AA科技大樓],[0-5分鐘],","[不在學校],",資訊學院
2,"[CC資訊網路大樓],[0-5分鐘],","[AA科技大樓],[5-10分鐘],","[不在學校],","[不在學校],","[不在學校],,",資訊學院
0,"[不在學校],","[EE綜合教學大樓],[0-5分鐘],","[不在學校],","[S資訊管理大樓],[0-5分鐘],","[S資訊管理大樓],[0-5分鐘],",資訊學院
